Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2024,Denton,TX,Passenger,1,0,1,29,30,3.33
January 31 2021,Columbia,WA,Passenger,5,3,8,2451,2459,0.33
May 31 2022,Albemarle,VA,Passenger,3,0,3,21,24,12.50
March 31 2020,Suffolk,MA,Passenger,0,2,2,38,40,5.00
November 30 2020,Jefferson,WA,Passenger,277,153,430,24716,25146,1.71
June 30 2023,Yakima,WA,Passenger,503,266,769,166111,166880,0.46
March 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
May 31 2022,El Paso,CO,Passenger,2,2,4,635,639,0.63
September 30 2021,Rockdale,GA,Passenger,1,0,1,5,6,16.67
March 31 2021,Santa Cruz,CA,Passenger,1,0,1,34,35,2.86
September 30 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
November 30 2020,Williams,ND,Passenger,0,1,1,10,11,9.09
August 31 2018,Clallam,WA,Passenger,128,115,243,50118,50361,0.48
July 31 2023,Jefferson,WA,Passenger,577,262,839,24264,25103,3.34
August 31 2023,Anne Arundel,MD,Passenger,5,3,8,291,299,2.68
November 30 2023,Monterey,CA,Passenger,0,4,4,123,127,3.15
August 31 2022,Deschutes,OR,Passenger,3,0,3,94,97,3.09
February 28 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
November 30 2023,Adams,CO,Passenger,1,0,1,22,23,4.35
July 31 2023,Skagit,WA,Passenger,1151,425,1576,88749,90325,1.74
December 31 2019,Clallam,WA,Passenger,196,157,353,50861,51214,0.69
November 30 2019,Asotin,WA,Passenger,13,8,21,12649,12670,0.17
June 30 2019,Clark,NV,Passenger,4,2,6,703,709,0.85
November 30 2023,Salt Lake,UT,Passenger,2,1,3,92,95,3.16
April 30 2024,Chelan,WA,Truck,51,0,51,22715,22766,0.22
October 31 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
September 30 2023,Williamson,TX,Passenger,1,1,2,49,51,3.92
October 31 2017,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
December 31 2021,Wilson,NC,Passenger,1,0,1,0,1,100.00
December 31 2023,Whatcom,WA,Passenger,2955,1060,4015,147597,151612,2.65
May 31 2018,Grays Harbor,WA,Passenger,50,55,105,46404,46509,0.23
June 30 2020,Washington,OR,Passenger,1,0,1,459,460,0.22
February 29 2024,Middlesex,MA,Passenger,2,0,2,67,69,2.90
April 30 2024,Pima,AZ,Passenger,1,0,1,148,149,0.67
May 31 2021,Montgomery,PA,Passenger,1,0,1,26,27,3.70
July 31 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
December 31 2023,Onslow,NC,Passenger,0,1,1,127,128,0.78
May 31 2024,Washtenaw,MI,Passenger,0,2,2,13,15,13.33
June 30 2020,Skagit,WA,Passenger,408,221,629,91124,91753,0.69
May 31 2022,Contra Costa,CA,Passenger,0,4,4,241,245,1.63
July 31 2022,Wahkiakum,WA,Passenger,24,12,36,3068,3104,1.16
October 31 2022,Alameda,CA,Passenger,7,2,9,188,197,4.57
December 31 2021,Harford,MD,Passenger,1,1,2,51,53,3.77
May 31 2018,Mason,WA,Passenger,77,91,168,45591,45759,0.37
January 31 2024,New London,CT,Passenger,2,2,4,151,155,2.58
November 30 2018,Lane,OR,Passenger,0,1,1,178,179,0.56
September 30 2021,Flathead,MT,Passenger,2,0,2,52,54,3.70
May 31 2023,Cumberland,PA,Passenger,1,0,1,37,38,2.63
September 30 2017,Adams,WA,Truck,0,0,0,5121,5121,0.00
January 31 2022,Allegheny,PA,Passenger,2,1,3,71,74,4.05
January 31 2018,Snohomish,WA,Passenger,2073,1093,3166,517977,521143,0.61
April 30 2018,Pacific,WA,Passenger,14,19,33,15479,15512,0.21
May 31 2018,Whitman,WA,Passenger,19,27,46,22575,22621,0.20
May 31 2018,Okanogan,WA,Passenger,8,19,27,25871,25898,0.10
January 31 2021,Grays Harbor,WA,Truck,0,0,0,21237,21237,0.00
September 30 2018,St. Clair,IL,Passenger,0,1,1,163,164,0.61
February 29 2024,Montgomery,MD,Passenger,6,2,8,167,175,4.57
April 30 2023,Madison,IL,Passenger,2,0,2,19,21,9.52
March 31 2020,Bexar,TX,Passenger,1,5,6,651,657,0.91
August 31 2019,Multnomah,OR,Passenger,5,6,11,764,775,1.42
March 31 2017,Pima,AZ,Passenger,0,2,2,462,464,0.43
June 30 2023,Lincoln,WA,Truck,0,0,0,4855,4855,0.00
December 31 2018,Allegheny,PA,Passenger,1,0,1,89,90,1.11
August 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
July 31 2022,Clark,WA,Passenger,4225,1812,6037,315197,321234,1.88
January 31 2019,Ventura,CA,Passenger,0,2,2,325,327,0.61
July 31 2020,Monterey,CA,Passenger,0,2,2,173,175,1.14
July 31 2018,Okanogan,WA,Truck,0,0,0,16424,16424,0.00
November 30 2023,Placer,CA,Passenger,1,0,1,62,63,1.59
September 30 2018,Maui,HI,Passenger,1,0,1,57,58,1.72
March 31 2023,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
February 29 2024,El Paso,TX,Passenger,3,0,3,250,253,1.19
July 31 2023,Escambia,FL,Passenger,0,1,1,134,135,0.74
March 31 2023,Ventura,CA,Passenger,3,3,6,230,236,2.54
January 31 2024,Clark,NV,Passenger,7,2,9,360,369,2.44
July 31 2022,Washtenaw,MI,Passenger,0,1,1,26,27,3.70
October 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
January 31 2021,Calvert,MD,Passenger,0,2,2,87,89,2.25
June 30 2023,Norfolk,MA,Passenger,1,0,1,20,21,4.76
February 28 2023,Houston,GA,Passenger,1,0,1,31,32,3.12
August 31 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
June 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
September 30 2019,Travis,TX,Passenger,4,1,5,219,224,2.23
June 30 2023,DeKalb,GA,Passenger,2,0,2,42,44,4.55
November 30 2023,Cache,UT,Passenger,1,0,1,10,11,9.09
November 30 2017,Pierce,WA,Passenger,1050,942,1992,525895,527887,0.38
January 31 2023,Walla Walla,WA,Passenger,203,106,309,35710,36019,0.86
December 31 2021,Harris,TX,Passenger,1,0,1,193,194,0.52
February 29 2024,Island,WA,Truck,44,0,44,20677,20721,0.21
June 30 2021,Greene,MO,Passenger,0,1,1,35,36,2.78
July 31 2020,Clark,WA,Truck,0,0,0,82396,82396,0.00
May 31 2019,Walla Walla,WA,Passenger,46,57,103,36157,36260,0.28
August 31 2018,El Paso,CO,Passenger,3,1,4,766,770,0.52
December 31 2019,Lincoln,WA,Passenger,1,11,12,7804,7816,0.15
March 31 2018,Deschutes,OR,Passenger,1,0,1,180,181,0.55
February 29 2024,Marion,OR,Passenger,1,0,1,42,43,2.33
September 30 2022,Onslow,NC,Passenger,0,1,1,169,170,0.59
May 31 2019,Adams,WA,Truck,0,0,0,5123,5123,0.00
July 31 2021,Sumter,SC,Passenger,0,1,1,34,35,2.86
February 29 2020,Grant,WA,Passenger,58,70,128,65559,65687,0.19
April 30 2022,Virginia Beach,VA,Passenger,2,0,2,541,543,0.37
February 28 2019,Fairfax,VA,Passenger,4,2,6,805,811,0.74
July 31 2023,Gwinnett,GA,Passenger,1,0,1,45,46,2.17
January 31 2023,Muscogee,GA,Passenger,0,1,1,109,110,0.91
January 31 2017,Yakima,WA,Truck,0,0,0,57333,57333,0.00
December 31 2021,Thurston,WA,Truck,0,0,0,55977,55977,0.00
July 31 2023,Tompkins,NY,Passenger,0,1,1,15,16,6.25
June 30 2022,Washoe,NV,Passenger,1,0,1,75,76,1.32
April 30 2023,Broward,FL,Passenger,1,0,1,65,66,1.52
February 29 2020,Fort Bend,TX,Passenger,1,0,1,49,50,2.00
August 31 2023,Providence,RI,Passenger,1,0,1,20,21,4.76
April 30 2024,DeKalb,GA,Passenger,1,0,1,29,30,3.33
January 31 2020,Garfield,WA,Passenger,0,1,1,1319,1320,0.08
November 30 2023,Wahkiakum,WA,Passenger,30,22,52,3042,3094,1.68
February 28 2022,Santa Clara,CA,Passenger,10,1,11,267,278,3.96
May 31 2020,Denton,TX,Passenger,1,0,1,96,97,1.03
March 31 2019,Monterey,CA,Passenger,0,1,1,196,197,0.51
October 31 2023,Orange,NC,Passenger,0,1,1,4,5,20.00
May 31 2019,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
January 31 2021,Montgomery,OH,Passenger,0,1,1,54,55,1.82
March 31 2021,Kings,NY,Passenger,1,0,1,71,72,1.39
January 31 2022,Kings,NY,Passenger,1,0,1,71,72,1.39
December 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
April 30 2023,Pierce,WA,Passenger,7131,2696,9827,532203,542030,1.81
February 28 2022,Sonoma,CA,Passenger,0,1,1,84,85,1.18
September 30 2023,Wayne,MI,Passenger,0,1,1,40,41,2.44
August 31 2017,Kitsap,WA,Passenger,638,336,974,173816,174790,0.56
May 31 2018,Skagit,WA,Passenger,199,163,362,90250,90612,0.40
February 29 2024,Skamania,WA,Passenger,141,56,197,7890,8087,2.44
July 31 2022,Prince George's,MD,Passenger,3,1,4,131,135,2.96
March 31 2021,Kent,MI,Passenger,0,1,1,29,30,3.33
August 31 2022,Meade,KY,Passenger,1,0,1,24,25,4.00
October 31 2018,Wahkiakum,WA,Passenger,1,1,2,2982,2984,0.07
November 30 2017,Jefferson,NY,Passenger,1,0,1,236,237,0.42
March 31 2020,Harris,TX,Passenger,1,0,1,267,268,0.37
March 31 2020,Maui,HI,Passenger,2,0,2,38,40,5.00
July 31 2019,Grays Harbor,WA,Truck,0,0,0,20533,20533,0.00
December 31 2023,Anne Arundel,MD,Passenger,4,3,7,281,288,2.43
April 30 2021,Harris,TX,Passenger,1,1,2,234,236,0.85
June 30 2017,Anne Arundel,MD,Passenger,0,1,1,499,500,0.20
January 31 2019,Travis,TX,Passenger,3,1,4,214,218,1.83
April 30 2024,Klickitat,WA,Truck,20,0,20,8110,8130,0.25
May 31 2017,Albemarle,VA,Passenger,0,1,1,31,32,3.12
September 30 2019,Houston,GA,Passenger,1,0,1,59,60,1.67
December 31 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
June 30 2018,Whatcom,WA,Passenger,632,301,933,147623,148556,0.63
July 31 2019,Sacramento,CA,Passenger,0,1,1,303,304,0.33
September 30 2019,Fairfax,VA,Passenger,4,2,6,767,773,0.78
July 31 2017,Cobb,GA,Passenger,0,1,1,79,80,1.25
December 31 2017,Northampton,PA,Passenger,0,1,1,67,68,1.47
September 30 2023,Lewis,WA,Passenger,365,276,641,59355,59996,1.07
November 30 2023,Jefferson,WA,Passenger,636,273,909,24154,25063,3.63
July 31 2019,San Mateo,CA,Passenger,2,1,3,124,127,2.36
March 31 2018,Clark,WA,Truck,0,0,0,78608,78608,0.00
May 31 2020,Whatcom,WA,Truck,3,0,3,42842,42845,0.01
April 30 2022,Franklin,WA,Passenger,179,105,284,61940,62224,0.46
January 31 2023,Bell,TX,Passenger,1,0,1,298,299,0.33
April 30 2020,Grant,WA,Truck,0,0,0,26987,26987,0.00
September 30 2019,Dallas,TX,Passenger,1,0,1,214,215,0.47
February 29 2020,Brevard,FL,Passenger,0,1,1,92,93,1.08
April 30 2021,Pennington,SD,Passenger,1,0,1,33,34,2.94
August 31 2023,Yuba,CA,Passenger,1,0,1,50,51,1.96
May 31 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
December 31 2022,Cumberland,PA,Passenger,1,0,1,38,39,2.56
September 30 2020,Douglas,CO,Passenger,0,1,1,84,85,1.18
March 31 2023,Pierce,WA,Passenger,6828,2650,9478,533407,542885,1.75
June 30 2020,Yakima,WA,Passenger,132,119,251,165310,165561,0.15
April 30 2020,Penobscot,ME,Passenger,0,1,1,16,17,5.88
October 31 2020,Santa Cruz,CA,Passenger,1,0,1,35,36,2.78
August 31 2021,Maricopa,AZ,Passenger,6,5,11,1258,1269,0.87
November 30 2023,,,Passenger,5,0,5,249,254,1.97
June 30 2023,Pend Oreille,WA,Passenger,30,13,43,8881,8924,0.48
December 31 2020,Sedgwick,KS,Passenger,1,1,2,90,92,2.17
January 31 2021,Hampshire,MA,Passenger,1,0,1,9,10,10.00
June 30 2023,Kent,DE,Passenger,1,0,1,42,43,2.33
July 31 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
October 31 2023,King,WA,Truck,899,2,901,173535,174436,0.52
February 28 2021,Lake,IL,Passenger,2,0,2,166,168,1.19
June 30 2017,Portsmouth,VA,Passenger,0,1,1,66,67,1.49
August 31 2021,Santa Cruz,CA,Passenger,1,0,1,31,32,3.12
May 31 2024,Yolo,CA,Passenger,2,0,2,16,18,11.11
November 30 2020,Carroll,MD,Passenger,0,1,1,18,19,5.26
November 30 2018,San Juan,PR,Passenger,0,1,1,5,6,16.67
October 31 2017,Volusia,FL,Passenger,0,1,1,43,44,2.27
June 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
January 31 2022,Clark,WA,Truck,2,0,2,83834,83836,0.00
January 31 2024,Clallam,WA,Passenger,684,318,1002,48679,49681,2.02
March 31 2020,Lee,FL,Passenger,1,0,1,51,52,1.92
February 28 2022,Salt Lake,UT,Passenger,1,1,2,172,174,1.15
July 31 2022,Salt Lake,UT,Passenger,1,1,2,146,148,1.35
April 30 2021,Middlesex,MA,Passenger,1,0,1,101,102,0.98
October 31 2020,Hawaii,HI,Passenger,1,0,1,57,58,1.72
November 30 2020,DeKalb,IN,Passenger,1,0,1,0,1,100.00
January 31 2022,Skagit,WA,Truck,1,0,1,32631,32632,0.00
September 30 2020,Chesapeake,VA,Passenger,0,2,2,429,431,0.46
October 31 2022,Lake,IL,Passenger,1,0,1,136,137,0.73
July 31 2018,Walla Walla,WA,Truck,0,0,0,13470,13470,0.00
February 28 2022,Baltimore,MD,Passenger,1,0,1,86,87,1.15
January 31 2019,Pend Oreille,WA,Passenger,5,5,10,9535,9545,0.10
May 31 2018,Wahkiakum,WA,Passenger,1,2,3,2902,2905,0.10
March 31 2020,Thurston,WA,Truck,0,0,0,55672,55672,0.00
November 30 2021,Alexandria,VA,Passenger,3,0,3,119,122,2.46
March 31 2022,Charleston,SC,Passenger,2,1,3,68,71,4.23
March 31 2020,Kittitas,WA,Passenger,98,49,147,29997,30144,0.49
May 31 2017,Cowlitz,WA,Passenger,52,50,102,69530,69632,0.15
November 30 2020,Lincoln,WA,Passenger,5,11,16,7614,7630,0.21
October 31 2021,Anchorage,AK,Passenger,1,0,1,149,150,0.67
March 31 2024,Middlesex,MA,Passenger,2,0,2,66,68,2.94
July 31 2022,Anne Arundel,MD,Passenger,3,3,6,345,351,1.71
May 31 2017,Manatee,FL,Passenger,1,0,1,47,48,2.08
July 31 2018,Flathead,MT,Passenger,1,0,1,54,55,1.82
April 30 2023,Yellowstone,MT,Passenger,0,1,1,17,18,5.56
February 28 2018,Pierce,WA,Passenger,1116,1028,2144,526288,528432,0.41
January 31 2023,Clallam,WA,Passenger,500,267,767,49326,50093,1.53
August 31 2019,Klickitat,WA,Passenger,37,35,72,15620,15692,0.46
September 30 2019,Cook,IL,Passenger,1,0,1,251,252,0.40
February 28 2021,Pierce,WA,Truck,0,0,0,144935,144935,0.00
August 31 2022,Whitman,WA,Truck,2,0,2,8557,8559,0.02
May 31 2018,Sedgwick,KS,Passenger,0,1,1,98,99,1.01
December 31 2018,Charleston,SC,Passenger,1,0,1,124,125,0.80
January 31 2023,Hennepin,MN,Passenger,1,0,1,48,49,2.04
February 29 2024,Yakima,WA,Truck,18,0,18,60536,60554,0.03
May 31 2023,Clallam,WA,Passenger,537,281,818,48981,49799,1.64
May 31 2020,San Juan,WA,Truck,0,0,0,5858,5858,0.00
May 31 2021,Sacramento,CA,Passenger,2,1,3,250,253,1.19
February 29 2024,Duval,FL,Passenger,1,0,1,195,196,0.51
August 31 2022,Lake,IN,Passenger,0,1,1,9,10,10.00
May 31 2021,Mercer,NJ,Passenger,0,1,1,11,12,8.33
June 30 2020,San Juan,WA,Passenger,302,93,395,13959,14354,2.75
June 30 2017,Franklin,WA,Truck,0,0,0,18118,18118,0.00
November 30 2019,Duval,FL,Passenger,1,2,3,372,375,0.80
February 28 2019,Ada,ID,Passenger,0,2,2,323,325,0.62
August 31 2022,Yellowstone,MT,Passenger,0,1,1,21,22,4.55
June 30 2023,Autauga,AL,Passenger,2,0,2,13,15,13.33
March 31 2020,,,Passenger,8,1,9,410,419,2.15
February 28 2021,Washtenaw,MI,Passenger,1,1,2,30,32,6.25
February 28 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
May 31 2018,Ferry,WA,Passenger,2,3,5,4417,4422,0.11
December 31 2017,Mason,WA,Truck,0,0,0,19586,19586,0.00
December 31 2020,New London,CT,Passenger,1,1,2,231,233,0.86
December 31 2020,Okanogan,WA,Truck,0,0,0,16598,16598,0.00
January 31 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
September 30 2019,Snohomish,WA,Passenger,3741,1660,5401,533783,539184,1.00
March 31 2024,Yakima,WA,Passenger,705,334,1039,165203,166242,0.62
July 31 2017,San Diego,CA,Passenger,6,2,8,2705,2713,0.29
May 31 2019,Pima,AZ,Passenger,0,1,1,422,423,0.24
June 30 2022,Douglas,CO,Passenger,0,1,1,85,86,1.16
March 31 2018,Jefferson,NY,Passenger,1,0,1,227,228,0.44
March 31 2018,Garfield,WA,Truck,0,0,0,950,950,0.00
May 31 2019,Pacific,WA,Passenger,24,28,52,15944,15996,0.33
November 30 2022,Columbia,WA,Truck,0,0,0,1587,1587,0.00
November 30 2018,Bergen,NJ,Passenger,1,0,1,27,28,3.57
October 31 2018,Benton,WA,Passenger,191,216,407,132544,132951,0.31
June 30 2020,Cowlitz,WA,Passenger,138,115,253,72311,72564,0.35
December 31 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
January 31 2023,Tooele,UT,Passenger,1,0,1,8,9,11.11
July 31 2022,Pierce,WA,Truck,20,0,20,141067,141087,0.01
September 30 2019,Alameda,CA,Passenger,3,1,4,299,303,1.32
February 29 2020,Washoe,NV,Passenger,1,0,1,116,117,0.85
November 30 2023,Kittitas,WA,Passenger,449,118,567,29383,29950,1.89
September 30 2022,Lake,IN,Passenger,0,1,1,10,11,9.09
September 30 2023,Nueces,TX,Passenger,1,1,2,50,52,3.85
May 31 2023,Lewis,WA,Passenger,310,209,519,59110,59629,0.87
January 31 2021,Washington,OR,Passenger,1,0,1,423,424,0.24
February 28 2022,Klickitat,WA,Passenger,92,53,145,15290,15435,0.94
March 31 2023,Wayne,MI,Passenger,0,1,1,38,39,2.56
February 28 2019,Shelby,TN,Passenger,0,1,1,101,102,0.98
November 30 2018,Allegheny,PA,Passenger,1,0,1,92,93,1.08
September 30 2023,Albemarle,VA,Passenger,2,0,2,15,17,11.76
January 31 2023,Grays Harbor,WA,Passenger,260,164,424,48560,48984,0.87
April 30 2019,Columbia,WA,Passenger,2,2,4,2442,2446,0.16
June 30 2022,Monterey,CA,Passenger,0,3,3,152,155,1.94
August 31 2022,Moore,NC,Passenger,0,1,1,113,114,0.88
May 31 2023,Atlantic,NJ,Passenger,1,0,1,11,12,8.33
April 30 2020,Duval,FL,Passenger,0,2,2,362,364,0.55
November 30 2023,Pitt,NC,Passenger,0,1,1,5,6,16.67
March 31 2019,Grays Harbor,WA,Passenger,69,80,149,47583,47732,0.31
December 31 2019,Douglas,WA,Passenger,67,38,105,28292,28397,0.37
December 31 2020,Charleston,SC,Passenger,2,0,2,93,95,2.11
November 30 2022,San Francisco,CA,Passenger,1,0,1,77,78,1.28
December 31 2020,Okaloosa,FL,Passenger,0,1,1,142,143,0.70
October 31 2018,Mercer,NJ,Passenger,0,1,1,19,20,5.00
September 30 2018,Columbia,WA,Truck,0,0,0,1521,1521,0.00
November 30 2021,Pinellas,FL,Passenger,0,1,1,96,97,1.03
February 29 2024,Santa Clara,CA,Passenger,11,2,13,147,160,8.12
January 31 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
May 31 2022,Spokane,WA,Passenger,1538,840,2378,324788,327166,0.73
August 31 2022,Benton,WA,Passenger,813,473,1286,135200,136486,0.94
May 31 2022,King,WA,Truck,43,1,44,181061,181105,0.02
November 30 2020,San Mateo,CA,Passenger,1,1,2,120,122,1.64
September 30 2023,Douglas,CO,Passenger,0,2,2,55,57,3.51
August 31 2019,Dakota,MN,Passenger,0,1,1,36,37,2.70
March 31 2023,El Paso,CO,Passenger,2,2,4,539,543,0.74
December 31 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
January 31 2019,Pierce,WA,Passenger,1581,1423,3004,539584,542588,0.55
May 31 2017,Kittitas,WA,Passenger,23,17,40,27355,27395,0.15
February 28 2018,Ventura,CA,Passenger,0,1,1,343,344,0.29
May 31 2019,Kitsap,WA,Truck,1,0,1,54010,54011,0.00
September 30 2019,Greene,MO,Passenger,0,1,1,34,35,2.86
January 31 2022,Grays Harbor,WA,Passenger,197,158,355,49314,49669,0.71
November 30 2020,Grant,WA,Passenger,78,79,157,65746,65903,0.24
April 30 2020,Kootenai,ID,Passenger,1,1,2,225,227,0.88
February 28 2017,Whatcom,WA,Truck,2,0,2,41323,41325,0.00
May 31 2020,Chesapeake,VA,Passenger,0,1,1,436,437,0.23
October 31 2023,Jefferson,WA,Truck,13,0,13,9271,9284,0.14
August 31 2017,Island,WA,Truck,0,0,0,20515,20515,0.00
February 28 2023,Wake,NC,Passenger,2,0,2,92,94,2.13
July 31 2022,Howard,MD,Passenger,0,2,2,66,68,2.94
July 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
July 31 2022,Grant,WA,Passenger,183,100,283,66605,66888,0.42
April 30 2021,San Francisco,CA,Passenger,1,1,2,100,102,1.96
June 30 2021,Washington,OR,Passenger,1,0,1,404,405,0.25
June 30 2021,St. Mary's,MD,Passenger,1,0,1,209,210,0.48
October 31 2022,Brown,WI,Passenger,1,0,1,8,9,11.11
October 31 2023,Clallam,WA,Passenger,635,308,943,48988,49931,1.89
October 31 2018,Cowlitz,WA,Passenger,69,86,155,72153,72308,0.21
November 30 2020,Anne Arundel,MD,Passenger,1,1,2,400,402,0.50
November 30 2020,Montgomery,TX,Passenger,1,0,1,51,52,1.92
February 28 2017,Latah,ID,Passenger,0,1,1,134,135,0.74
August 31 2021,Wahkiakum,WA,Truck,0,0,0,1799,1799,0.00
April 30 2020,Asotin,WA,Passenger,16,12,28,12436,12464,0.22
October 31 2023,Collier,FL,Passenger,1,0,1,14,15,6.67
April 30 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
February 28 2021,DeKalb,GA,Passenger,1,0,1,67,68,1.47
April 30 2019,Thurston,WA,Passenger,821,612,1433,196654,198087,0.72
August 31 2021,Leavenworth,KS,Passenger,0,1,1,109,110,0.91
April 30 2023,Dallas,TX,Passenger,2,0,2,91,93,2.15
May 31 2021,Miami-Dade,FL,Passenger,1,0,1,105,106,0.94
July 31 2020,Harford,MD,Passenger,0,1,1,58,59,1.69
July 31 2020,Henrico,VA,Passenger,0,1,1,19,20,5.00
November 30 2019,Franklin,WA,Passenger,53,74,127,60768,60895,0.21
April 30 2019,San Diego,CA,Passenger,11,3,14,2658,2672,0.52
August 31 2019,Spartanburg,SC,Passenger,0,1,1,43,44,2.27
April 30 2019,Cowlitz,WA,Truck,0,0,0,28846,28846,0.00
March 31 2021,Philadelphia,PA,Passenger,1,0,1,59,60,1.67
April 30 2019,Ventura,CA,Passenger,0,2,2,323,325,0.62
February 28 2022,Lincoln,WA,Truck,0,0,0,4840,4840,0.00
September 30 2022,Okanogan,WA,Truck,1,0,1,16505,16506,0.01
December 31 2018,Orange,FL,Passenger,2,0,2,168,170,1.18
July 31 2020,Whitman,WA,Passenger,45,49,94,22111,22205,0.42
October 31 2020,Collin,TX,Passenger,2,1,3,132,135,2.22
February 29 2020,Monterey,CA,Passenger,0,1,1,191,192,0.52
August 31 2020,Cowlitz,WA,Truck,0,0,0,28900,28900,0.00
March 31 2024,Lewis,WA,Truck,13,0,13,25358,25371,0.05
October 31 2021,Jefferson,NY,Passenger,1,0,1,221,222,0.45
July 31 2021,Hamilton,IN,Passenger,2,0,2,36,38,5.26
March 31 2021,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
May 31 2023,Denton,TX,Passenger,2,0,2,53,55,3.64
November 30 2019,Montgomery,PA,Passenger,2,0,2,38,40,5.00
February 28 2022,Lane,OR,Passenger,0,2,2,116,118,1.69
July 31 2023,Snohomish,WA,Truck,187,0,187,121289,121476,0.15
February 28 2018,Lincoln,WA,Passenger,2,5,7,7594,7601,0.09
August 31 2020,Prince George's,MD,Passenger,2,1,3,161,164,1.83
September 30 2017,Pacific,WA,Passenger,12,9,21,15256,15277,0.14
August 31 2019,Pima,AZ,Passenger,1,1,2,414,416,0.48
June 30 2020,Norfolk,VA,Passenger,2,2,4,343,347,1.15
August 31 2018,Tarrant,TX,Passenger,1,0,1,215,216,0.46
September 30 2017,Nassau,NY,Passenger,1,1,2,42,44,4.55
February 28 2023,Louisa,VA,Passenger,0,1,1,1,2,50.00
September 30 2022,Frederick,MD,Passenger,1,0,1,65,66,1.52
August 31 2017,Clallam,WA,Truck,0,0,0,21059,21059,0.00
January 31 2018,Pacific,WA,Truck,0,0,0,7532,7532,0.00
January 31 2018,Nassau,NY,Passenger,1,0,1,40,41,2.44
April 30 2022,Tompkins,NY,Passenger,0,1,1,17,18,5.56
August 31 2018,Franklin,WA,Passenger,36,65,101,58360,58461,0.17
February 28 2019,Sedgwick,KS,Passenger,0,1,1,103,104,0.96
February 28 2023,Chesapeake,VA,Passenger,3,1,4,325,329,1.22
June 30 2019,Island,WA,Truck,0,0,0,21254,21254,0.00
April 30 2021,Fresno,CA,Passenger,1,0,1,193,194,0.52
May 31 2020,Newport,RI,Passenger,0,1,1,82,83,1.20
February 28 2022,Snohomish,WA,Truck,3,0,3,125079,125082,0.00
December 31 2023,Yakima,WA,Truck,15,0,15,60848,60863,0.02
July 31 2021,Kootenai,ID,Passenger,0,1,1,195,196,0.51
April 30 2021,Gwinnett,GA,Passenger,1,0,1,69,70,1.43
August 31 2018,Clark,WA,Truck,0,0,0,79284,79284,0.00
August 31 2023,King,WA,Truck,831,2,833,174610,175443,0.47
July 31 2018,Wahkiakum,WA,Truck,0,0,0,1681,1681,0.00
February 29 2024,Benton,WA,Truck,37,0,37,42739,42776,0.09
November 30 2020,Spokane,WA,Passenger,858,542,1400,320087,321487,0.44
May 31 2023,Stevens,WA,Passenger,110,66,176,29695,29871,0.59
January 31 2023,Arlington,VA,Passenger,1,0,1,117,118,0.85
May 31 2022,Wichita,TX,Passenger,1,0,1,42,43,2.33
May 31 2023,Kings,CA,Passenger,2,2,4,284,288,1.39
January 31 2017,Thurston,WA,Passenger,336,299,635,184901,185536,0.34
October 31 2019,Klamath,OR,Passenger,1,0,1,41,42,2.38
January 31 2024,Pulaski,AR,Passenger,2,0,2,18,20,10.00
April 30 2019,Richland,SC,Passenger,0,1,1,163,164,0.61
January 31 2020,Clay,FL,Passenger,0,1,1,90,91,1.10
March 31 2020,Bucks,PA,Passenger,1,0,1,23,24,4.17
May 31 2021,Allen,IN,Passenger,1,0,1,20,21,4.76
March 31 2018,Whatcom,WA,Passenger,575,260,835,146083,146918,0.57
October 31 2022,Salt Lake,UT,Passenger,1,1,2,139,141,1.42
October 31 2022,Hamilton,OH,Truck,1,0,1,4,5,20.00
February 28 2023,Klickitat,WA,Passenger,126,57,183,15118,15301,1.20
March 31 2023,Deschutes,OR,Passenger,2,0,2,80,82,2.44
January 31 2022,Norfolk,VA,Passenger,2,3,5,317,322,1.55
